340	 188
1200	 180
2376	 128
2724	 160
3192	 184
3532	 120
772	 216
912	 244
2836	 296
3004	 244
3400	 252
136	 376
456	 320
628	 300
780	 364
1848	 340
2288	 344
2460	 332
2632	 376
3544	 384
1084	 472
2188	 488
2800	 472
296	 576
452	 536
680	 536
896	 512
1580	 544
1928	 568
2380	 528
2648	 588
3008	 512
3260	 580
1104	 608
1848	 696
2900	 628
312	 784
508	 764
680	 700
996	 736
1316	 764
1636	 796
2492	 700
2820	 776
2996	 760
3536	 732
120	 864
928	 884
1804	 856
2084	 828
2244	 804
2664	 808
2912	 896
3336	 824
444	 944
1256	 920
2416	 908
644	 1088
1060	 1020
1912	 1052
2308	 1028
2544	 1008
3428	 1028
340	 1176
1000	 1152
1528	 1168
2256	 1184
2812	 1148
3076	 1132
3256	 1108
544	 1288
864	 1220
1708	 1236
2544	 1224
2696	 1216
3268	 1256
3532	 1240
1908	 1328
2996	 1364
700	 1408
1336	 1480
1624	 1412
2220	 1476
2380	 1408
2520	 1496
3292	 1448
248	 1532
2060	 1580
2744	 1500
2868	 1592
3528	 1528
396	 1624
580	 1668
792	 1676
1088	 1616
1424	 1684
2352	 1672
2624	 1640
3224	 1688
3568	 1692
292	 1796
1176	 1764
2228	 1796
2676	 1796
3380	 1712
492	 1864
932	 1832
1392	 1828
1884	 1816
2364	 1880
1576	 1912
1940	 1960
3192	 1956
3512	 1900
272	 2072
432	 2036
1440	 2016
1692	 2036
2244	 2004
1044	 2132
1444	 2196
1944	 2168
2136	 2128
2408	 2164
2832	 2104
3128	 2120
3412	 2100
3532	 2196
192	 2232
384	 2292
576	 2264
916	 2280
1304	 2264
2572	 2216
2768	 2272
2952	 2248
1568	 2380
1876	 2352
2196	 2332
3548	 2380
272	 2468
476	 2488
868	 2456
1264	 2472
1732	 2432
2392	 2476
2620	 2444
3100	 2484
748	 2556
1440	 2516
1924	 2568
3288	 2588
512	 2676
1548	 2652
2084	 2612
2500	 2616
2852	 2632
256	 2728
988	 2720
1264	 2780
2116	 2796
2624	 2776
3044	 2724
188	 2876
496	 2836
816	 2820
1508	 2848
2752	 2860
3584	 2868
752	 2960
980	 2936
1288	 2984
1684	 2928
1852	 2980
3336	 2984
396	 3088
1520	 3028
2628	 3016
772	 3188
1112	 3120
1384	 3128
1728	 3148
2060	 3164
2272	 3168
2460	 3192
2756	 3176
3188	 3136
3416	 3120
212	 3268
2172	 3276
2620	 3224
2968	 3212
900	 3384
1172	 3324
2696	 3384
3060	 3352
3368	 3356
3544	 3320
160	 3432
388	 3452
688	 3460
1036	 3464
1916	 3400
2084	 3496
2256	 3420
2504	 3464
3256	 3492
3476	 3464
1432	 3548
3088	 3568
812	 3668
2200	 3608
2504	 3680
2984	 3688
3432	 3676
1892	 3704
